date, forward_price
01/01/19, 243.863,
02/01/19, 243.863,
03/01/19, 243.863,
04/01/19, 243.863,
05/01/19, 243.863,
06/01/19, 243.863,
07/01/19, 243.863,
08/01/19, 243.863,
09/01/19, 243.863,
10/01/19, 243.863,
11/01/19, 243.863,
12/01/19, 243.863,
13/01/19, 243.863,
14/01/19, 243.863,
15/01/19, 243.863,
16/01/19, 243.863,
17/01/19, 243.863,
18/01/19, 243.863,
19/01/19, 243.863,
20/01/19, 243.863,
21/01/19, 243.863,
22/01/19, 243.863,
23/01/19, 243.863,
24/01/19, 243.863,
25/01/19, 243.863,
26/01/19, 243.863,
27/01/19, 243.863,
28/01/19, 243.863,
29/01/19, 243.863,
30/01/19, 243.863,
31/01/19, 243.863,
01/02/19, 247.275,
02/02/19, 247.275,
03/02/19, 247.275,
04/02/19, 247.275,
05/02/19, 247.275,
06/02/19, 247.275,
07/02/19, 247.275,
08/02/19, 247.275,
09/02/19, 247.275,
10/02/19, 247.275,
11/02/19, 247.275,
12/02/19, 247.275,
13/02/19, 247.275,
14/02/19, 247.275,
15/02/19, 247.275,
16/02/19, 247.275,
17/02/19, 247.275,
18/02/19, 247.275,
19/02/19, 247.275,
20/02/19, 247.275,
21/02/19, 247.275,
22/02/19, 247.275,
23/02/19, 247.275,
24/02/19, 247.275,
25/02/19, 247.275,
26/02/19, 247.275,
27/02/19, 247.275,
28/02/19, 247.275,
01/03/19, 243.6,
02/03/19, 243.6,
03/03/19, 243.6,
04/03/19, 243.6,
05/03/19, 243.6,
06/03/19, 243.6,
07/03/19, 243.6,
08/03/19, 243.6,
09/03/19, 243.6,
10/03/19, 243.6,
11/03/19, 243.6,
12/03/19, 243.6,
13/03/19, 243.6,
14/03/19, 243.6,
15/03/19, 243.6,
16/03/19, 243.6,
17/03/19, 243.6,
18/03/19, 243.6,
19/03/19, 243.6,
20/03/19, 243.6,
21/03/19, 243.6,
22/03/19, 243.6,
23/03/19, 243.6,
24/03/19, 243.6,
25/03/19, 243.6,
26/03/19, 243.6,
27/03/19, 243.6,
28/03/19, 243.6,
29/03/19, 243.6,
30/03/19, 243.6,
31/03/19, 243.6,
01/04/19, 227.655,
02/04/19, 227.655,
03/04/19, 227.655,
04/04/19, 227.655,
05/04/19, 227.655,
06/04/19, 227.655,
07/04/19, 227.655,
08/04/19, 227.655,
09/04/19, 227.655,
10/04/19, 227.655,
11/04/19, 227.655,
12/04/19, 227.655,
13/04/19, 227.655,
14/04/19, 227.655,
15/04/19, 227.655,
16/04/19, 227.655,
17/04/19, 227.655,
18/04/19, 227.655,
19/04/19, 227.655,
20/04/19, 227.655,
21/04/19, 227.655,
22/04/19, 227.655,
23/04/19, 227.655,
24/04/19, 227.655,
25/04/19, 227.655,
26/04/19, 227.655,
27/04/19, 227.655,
28/04/19, 227.655,
29/04/19, 227.655,
30/04/19, 227.655,
01/05/19, 224.417,
02/05/19, 224.417,
03/05/19, 224.417,
04/05/19, 224.417,
05/05/19, 224.417,
06/05/19, 224.417,
07/05/19, 224.417,
08/05/19, 224.417,
09/05/19, 224.417,
10/05/19, 224.417,
11/05/19, 224.417,
12/05/19, 224.417,
13/05/19, 224.417,
14/05/19, 224.417,
15/05/19, 224.417,
16/05/19, 224.417,
17/05/19, 224.417,
18/05/19, 224.417,
19/05/19, 224.417,
20/05/19, 224.417,
21/05/19, 224.417,
22/05/19, 224.417,
23/05/19, 224.417,
24/05/19, 224.417,
25/05/19, 224.417,
26/05/19, 224.417,
27/05/19, 224.417,
28/05/19, 224.417,
29/05/19, 224.417,
30/05/19, 224.417,
31/05/19, 224.417,
01/06/19, 222.816,
02/06/19, 222.816,
03/06/19, 222.816,
04/06/19, 222.816,
05/06/19, 222.816,
06/06/19, 222.816,
07/06/19, 222.816,
08/06/19, 222.816,
09/06/19, 222.816,
10/06/19, 222.816,
11/06/19, 222.816,
12/06/19, 222.816,
13/06/19, 222.816,
14/06/19, 222.816,
15/06/19, 222.816,
16/06/19, 222.816,
17/06/19, 222.816,
18/06/19, 222.816,
19/06/19, 222.816,
20/06/19, 222.816,
21/06/19, 222.816,
22/06/19, 222.816,
23/06/19, 222.816,
24/06/19, 222.816,
25/06/19, 222.816,
26/06/19, 222.816,
27/06/19, 222.816,
28/06/19, 222.816,
29/06/19, 222.816,
30/06/19, 222.816,
01/07/19, 221.685,
02/07/19, 221.685,
03/07/19, 221.685,
04/07/19, 221.685,
05/07/19, 221.685,
06/07/19, 221.685,
07/07/19, 221.685,
08/07/19, 221.685,
09/07/19, 221.685,
10/07/19, 221.685,
11/07/19, 221.685,
12/07/19, 221.685,
13/07/19, 221.685,
14/07/19, 221.685,
15/07/19, 221.685,
16/07/19, 221.685,
17/07/19, 221.685,
18/07/19, 221.685,
19/07/19, 221.685,
